Nr.,店名,中文店名,英文店名,类别,连锁,地址,城区
47,TheTreeNoodleHouse,The Tree Noodle House,The Tree Noodle House,面馆,否,"Brunnenstr. 167, 10119 Berlin",Mitte
48,喜面/XiMianHand-PulledNoodles (Mitte),喜面,Xi Mian Hand-Pulled Noodles (Mitte),面馆,是,"Invalidenstr. 159, 10115 Berlin",Mitte
49,TheNoodleTown (Mitte),The Noodle Town (Mitte),The Noodle Town (Mitte),面馆,是,"Große Hamburger Str. 24, 10115 Berlin",Mitte
50,宾临城下/NoodlePlus,宾临城下,Noodle Plus,面馆,否,"Hannah-Arendt-str. 1, 10117 Berlin",Mitte
51,Bang Bang Noodles (Mitte),Bang Bang Noodles (Mitte),Bang Bang Noodles (Mitte),面馆,是,"RosenthalerStr. 69, 10119 Berlin",Mitte
52,三顾冒菜/SankuMaots'ai (Mitte),三顾冒菜,Sanku Maots'ai (Mitte),麻辣烫/冒菜,是,"Friedrichstr. 121, 10117 Berlin",Mitte
53,杨国福/Yangguofu (Mitte),杨国福,Yangguofu (Mitte),麻辣烫/冒菜,是,"Weinbergsweg 5, 10119 Berlin",Mitte
54,老乡/Lao Xiang,老乡,Lao Xiang,饭店,否,"Wichertstr, 43, 10439 Berlin",Prenzlauer Berg
55,姗姗小屋/Shanshan,姗姗小屋,Shanshan,饭店,否,"Gleimstr. 24, 10437 Berlin",Prenzlauer Berg
56,味道佳/Wei Dao Jia,味道佳,Wei Dao Jia,饭店,否,"Oderberger Str. 27, 10435 Berlin",Prenzlauer Berg
57,五月花/Mayflower,五月花,Mayflower,饭店,否,"Greifenhagener Str. 27, 10437 Berlin",Prenzlauer Berg
58,北方水饺/Wok Show,北方水饺,Wok Show,饭店,否,"Greifenhagener Str. 31, 10437 Berlin",Prenzlauer Berg
59,东海楼/Donghailou Restaurant,东海楼,Donghailou Restaurant,饭店,否,"Ostseestr. 79, 10409 Berlin",Prenzlauer Berg
60,凤凰酒楼/Phönix Buffet,凤凰酒楼,Phönix Buffet,饭店,否,"Greifswalderstr. 90, 10409 Berlin",Prenzlauer Berg
61,一点茶寮/Dot Tea Bar,一点茶寮,Dot Tea Bar,小吃,否,"Gleimstr. 27, 10437 Berlin",Prenzlauer Berg
62,包饺会/Bao Gao Club (PBerg),包饺会,Bao Gao Club (PBerg),小吃,是,"Schönhauser Allee 103, 10439 Berlin",Prenzlauer Berg
63,马路边/Marubi,马路边,Marubi,小吃,否,"Schönhauser Allee 187, 10119 Berlin",Prenzlauer Berg
64,海椒/Hi! Chili,海椒,Hi! Chili,小吃,否,"Fehrbelliner Str. 5, 10119 Berlin",Prenzlauer Berg
65,Lecker Song,Lecker Song,Lecker Song,小吃,否,"Schliemannstr. 19, 10437 Berlin",Prenzlauer Berg
66,Yummy Dumpling,Yummy Dumpling,Yummy Dumpling,小吃,否,"Schönhauser Allee 122, 10437 Berlin",Prenzlauer Berg
67,Wen Cheng (PBerg 1),Wen Cheng (PBerg 1),Wen Cheng (PBerg 1),面馆,是,"Schönhauser Allee 65, 10437 Berlin",Prenzlauer Berg
68,Wen Cheng (Pberg 2),Wen Cheng (Pberg 2),Wen Cheng (Pberg 2),面馆,是,"Schönhauser Allee 10, 10119 Berlin",Prenzlauer Berg
69,功夫辣椒/KongfuChili,功夫辣椒,Kongfu Chili,面馆,否,"Schliemannstr. 31, 10437 Berlin",Prenzlauer Berg
70,空/KongChineseNoodleRestaurant,空,Kong Chinese Noodle Restaurant,面馆,否,"Prenzlauer Allee 27A, 10405 Berlin",Prenzlauer Berg
71,喜面/XiMianHand-PulledNoodles (PBerg),喜面,Xi Mian Hand-Pulled Noodles (PBerg),面馆,是,"Danziger Str. 10, 10435 Berlin",Prenzlauer Berg
72,素素/SusuVeganFood,素素,Susu Vegan Food,素食,否,"Eberswalder Str. 29, 10437 Berlin",Prenzlauer Berg
73,The Butterfly Lovers,The Butterfly Lovers,The Butterfly Lovers,素食,否,"Veteranenstr. 10, 10119 Berlin",Prenzlauer Berg
